year,p,gperc,weight,a_pre,sh_tax_dir_pit,sh_tax_cit,sh_tax_ind,sh_tax_dir_wea,sh_tax_dir_wea_prh,sh_tax_dir_wea_prb,sh_tax_dir_wea_wea,sh_tax_soc_tot_soc,sh_tax
1980,44000,45,2277260,7335,0.0652,0.0174,0.0742,0.0259,0.0123,0.0089,0.0019,0.0847,0.2674
1980,45000,46,2277260,7493,0.0671,0.0177,0.0713,0.0258,0.0123,0.0090,0.0019,0.0823,0.2640
1980,46000,47,2277260,7651,0.0745,0.0165,0.0726,0.0264,0.0123,0.0091,0.0019,0.0860,0.2760
1980,47000,48,2277260,7810,0.0696,0.0193,0.0710,0.0241,0.0123,0.0091,0.0019,0.0812,0.2652
1980,48000,49,2277260,7970,0.0721,0.0187,0.0701,0.0270,0.0123,0.0092,0.0020,0.0813,0.2693
1980,49000,50,2277260,8130,0.0762,0.0166,0.0730,0.0233,0.0123,0.0093,0.0020,0.0859,0.2750
1980,50000,51,2277260,8290,0.0783,0.0195,0.0678,0.0271,0.0123,0.0094,0.0020,0.0803,0.2730
1980,51000,52,2277260,8452,0.0788,0.0191,0.0690,0.0256,0.0123,0.0094,0.0020,0.0822,0.2747
1980,52000,53,2277260,8615,0.0812,0.0180,0.0695,0.0230,0.0123,0.0095,0.0020,0.0848,0.2764
1980,53000,54,2277260,8780,0.0844,0.0181,0.0691,0.0245,0.0123,0.0095,0.0020,0.0852,0.2813
1980,54000,55,2277260,8946,0.0768,0.0191,0.0645,0.0264,0.0123,0.0094,0.0020,0.0803,0.2671
1980,55000,56,2277260,9114,0.0830,0.0206,0.0620,0.0248,0.0123,0.0095,0.0020,0.0813,0.2717
1980,56000,57,2277260,9284,0.0877,0.0173,0.0638,0.0229,0.0123,0.0095,0.0020,0.0857,0.2773
1980,57000,58,2277260,9457,0.0861,0.0186,0.0625,0.0222,0.0123,0.0095,0.0020,0.0834,0.2729
1980,58000,59,2277260,9632,0.0853,0.0193,0.0621,0.0225,0.0123,0.0097,0.0021,0.0818,0.2711
1980,59000,60,2277260,9810,0.0880,0.0205,0.0620,0.0244,0.0123,0.0097,0.0021,0.0825,0.2773
1980,60000,61,2277260,9991,0.0875,0.0204,0.0611,0.0233,0.0123,0.0098,0.0021,0.0821,0.2743
1980,61000,62,2277260,10176,0.0919,0.0196,0.0624,0.0205,0.0123,0.0098,0.0021,0.0850,0.2794
1980,62000,63,2277260,10365,0.0910,0.0195,0.0607,0.0226,0.0123,0.0098,0.0021,0.0824,0.2762
1980,63000,64,2277260,10558,0.0965,0.0193,0.0604,0.0246,0.0123,0.0100,0.0021,0.0831,0.2839
1980,64000,65,2277260,10755,0.0936,0.0201,0.0611,0.0214,0.0123,0.0100,0.0021,0.0827,0.2788
1980,65000,66,2277260,10957,0.0988,0.0199,0.0612,0.0247,0.0123,0.0099,0.0021,0.0831,0.2876
1980,66000,67,2277260,11164,0.0955,0.0212,0.0594,0.0250,0.0123,0.0098,0.0021,0.0804,0.2815
1980,67000,68,2277260,11377,0.1027,0.0209,0.0602,0.0227,0.0123,0.0099,0.0021,0.0854,0.2919
1980,68000,69,2277260,11595,0.0969,0.0216,0.0601,0.0210,0.0123,0.0099,0.0021,0.0822,0.2817
1980,69000,70,2277260,11819,0.1012,0.0204,0.0594,0.0242,0.0123,0.0101,0.0022,0.0831,0.2883
1980,70000,71,2277260,12050,0.1019,0.0214,0.0593,0.0235,0.0123,0.0102,0.0022,0.0835,0.2895
1980,71000,72,2277260,12287,0.1086,0.0204,0.0583,0.0224,0.0123,0.0105,0.0022,0.0846,0.2942
1980,72000,73,2277260,12532,0.1091,0.0206,0.0588,0.0225,0.0123,0.0105,0.0022,0.0871,0.2981
1980,73000,74,2277260,12783,0.1165,0.0178,0.0588,0.0217,0.0123,0.0106,0.0023,0.0898,0.3045
1980,74000,75,2277260,13042,0.1116,0.0215,0.0551,0.0228,0.0123,0.0107,0.0023,0.0840,0.2949
