firm_id,fyear,tic,merge_status,matched,sp500_member,sector,knowledge_sector,comp_pi,orb_pi,comp_revt,orb_revt,comp_txfed,comp_txfo,comp_txc,comp_txt,etr_current,etr_federal,etr_foreign,etr_total,post2022,post_tcja,knowledge_post2022,knowledge_post_tcja,costat,curcd,datafmt,indfmt,consol,cik,state,comp_gdwl,comp_intan,intano,tlcf,txdb,txdba,txdbca,txdbcl,txditc,txndb,txndba,txndbl,txndbr,txp,txr,comp_gp,comp_pidom,comp_pifo,comp_txdfed,comp_txdfo,comp_txdi,txds,txo,txs,utxfed,tdc,txach,txdc,comp_txpd,acqgdwl,acqintan,comp_emp,nace4_prim,sic,sic_name,orb_ni,orb_cf,orb_at,orb_profmarg,orb_mktcap,orb_name2,orb_intan,orb_cash,orb_rd,orb_emp,orb_tax,orb_taxrate,nace4_sec,nace_4d,nace_2d,CPI,big_sectors,tech,pharma,other_knowledge,commodities_retail,industry,other_services,traditional_sector,log_revenue,rev_per_emp,etr_total_pct,etr_current_pct,etr_federal_pct,etr_foreign_pct,sp500_pre,sp500_x_post
id00002,2022,PNW,Matched,1,1,Other Services,0.0,575.653,575653000.0,4324.385,4324385000.0,35.617,,37.567,74.827,0.0652598,0.061872344,,0.1299863,1,1,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,258.88,258.88,,2384.421,0.0,0.0,0.0,2565.098,-2384.421,981.003,3365.424,0.0,164.44,,1485.106,,,,,37.26,,0.0,1.95,35.617,43.202,,37.309,46.227,,,5.861,3511,4911.0,Electric Services,483602000.0,1301416000.0,22723405000.0,13.31,8603.18,Pinnacle West Capital Corp,258880000.0,4832000.0,,82.0,92051000.0,0.1599071,6421.0,3511.0,35.0,292.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.3720255,737.8237,12.998630106449127,6.525979936122894,6.187234446406364,,1,1
id00002,2021,PNW,Matched,1,1,Other Services,0.0,746.03,746030000.0,3803.835,3803835000.0,-5.041,,-2.583,110.086,0.0,0.0,,0.14756243,0,1,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,273.693,273.693,,2311.862,0.0,0.0,0.0,2498.432,-2311.862,1134.712,3446.574,0.0,168.645,,1456.185,,,,,112.669,,0.0,2.458,-5.041,117.471,,112.669,0.229,,,5.872,3511,4911.0,Electric Services,618720000.0,1337861000.0,22003222000.0,19.61,7961.53,Pinnacle West Capital Corp,273693000.0,9969000.0,,91.0,127310000.0,0.17064998,6421.0,3511.0,35.0,271.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.243765,647.79205,14.75624293088913,0.0,0.0,,1,1
id00002,2020,PNW,Matched,1,1,Other Services,0.0,648.225,648225000.0,3586.982,3586982000.0,11.869,,13.801,78.173,0.021290448,0.018310001,,0.12059547,0,1,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,282.57,282.57,,2135.403,0.0,0.0,0.0,2326.775,-2135.403,996.755,3132.158,0.0,159.551,,1402.53,,,,,64.372,,0.0,1.932,11.869,69.468,,64.372,-3.019,,,6.026,3511,4911.0,Electric Services,550559000.0,1236812000.0,20020421000.0,18.07,9002.11,Pinnacle West Capital Corp,282570000.0,59968000.0,,88.0,97666000.0,0.15066682,6421.0,3511.0,35.0,258.8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.185066,595.2509,12.059547007083893,2.129044756293297,1.8310001119971275,,1,1
id00002,2019,PNW,Matched,1,1,Other Services,0.0,542.04,542040000.0,3471.209,3471209000.0,-13.551,,-10.356,-15.773,0.0,0.0,,0.0,0,1,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,290.564,290.564,,1992.339,0.0,0.0,0.0,2188.807,-1992.339,904.909,2897.248,0.0,144.899,,1262.889,,,,,-5.417,,0.0,3.195,-13.551,-1.479,,-5.417,12.535,,,6.21,3511,4911.0,Electric Services,538320000.0,1202460000.0,18479247000.0,15.62,10109.11,Pinnacle West Capital Corp,290564000.0,10283000.0,,97.0,3720000.0,0.006862962,6421.0,3511.0,35.0,255.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.152258,558.9708,0.0,0.0,0.0,,1,1
id00002,2018,PNW,Matched,1,1,Other Services,0.0,664.442,664442000.0,3691.247,3691247000.0,18.375,,21.717,133.902,0.032684565,0.027654784,,0.20152548,0,1,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,262.902,262.902,,1807.421,0.0,0.0,0.0,2007.826,-1807.421,894.932,2702.353,0.0,154.819,,1356.041,,,,,112.185,,0.0,3.342,18.375,117.355,,112.185,21.173,,,6.259,3511,4911.0,Electric Services,511047000.0,1162002000.0,17664202000.0,18.0,9549.19,Pinnacle West Capital Corp,262902000.0,5766000.0,,96.0,153395000.0,0.2308629,6421.0,3511.0,35.0,251.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.213719,589.7503,20.152547955513,3.26845645904541,2.765478380024433,,1,1
id00002,2017,PNW,Matched,1,1,Other Services,0.0,766.221,766221000.0,3565.296,3565296000.0,11.624,,14.676,258.272,0.019153742,0.015170557,,0.33707246,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,257.189,257.189,,1690.805,0.0,0.0,0.0,1896.38,-1690.805,950.077,2640.882,0.0,148.946,,1468.545,,,,,243.596,,0.0,3.052,11.624,248.164,,243.577,2.186,,,6.292,3511,4911.0,Electric Services,488456000.0,1099085000.0,17019082000.0,21.49,9517.14,Pinnacle West Capital Corp,257189000.0,13892000.0,,90.0,277765000.0,0.3625129,6421.0,3511.0,35.0,245.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.179003,566.6395,33.70724618434906,1.9153742119669914,1.5170557424426079,,1,0
id00002,2016,PNW,Matched,1,1,Other Services,0.0,697.938,697938000.0,3498.682,3498682000.0,8.63,,9.889,236.411,0.014168881,0.012364996,,0.3387278,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,90.022,90.022,,2945.232,0.0,0.0,0.0,3155.394,-2945.232,958.815,3904.047,0.0,138.964,,1341.813,,,,,226.522,,0.0,1.259,8.63,206.87,,229.952,9.956,,,6.339,3511,4911.0,Electric Services,442034000.0,1007045000.0,16004253000.0,19.95,8685.22,Pinnacle West Capital Corp,90022000.0,8881000.0,,89.0,255904000.0,0.3666572,6421.0,3511.0,35.0,240.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.160142,551.9296,33.872780203819275,1.4168880879878998,1.2364995665848255,,1,0
id00002,2015,PNW,Matched,1,1,Other Services,0.0,693.91,693910000.0,3495.443,3495443000.0,-12.335,,-7.572,237.72,0.0,0.0,,0.34258047,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,,,,2723.425,0.0,0.0,0.0,2910.505,-2723.425,992.357,3715.782,0.0,138.6,,1349.024,,,,,245.292,,0.0,4.763,-12.335,236.819,,245.292,6.55,,,6.407,3511,4911.0,Electric Services,437257000.0,1008921000.0,15028258000.0,19.85,7147.59,Pinnacle West Capital Corp,123975000.0,39488000.0,,93.0,256653000.0,0.36986497,6421.0,3511.0,35.0,237.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.159215,545.5663,34.25804674625397,0.0,0.0,,1,0
id00002,2014,PNW,Matched,1,1,Other Services,0.0,644.401,644401000.0,3491.632,3491632000.0,25.054,,35.436,220.705,0.054990605,0.038879517,,0.34249637,0,0,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,,,,2582.636,0.0,122.232,0.0,2761.243,-2460.404,1011.886,3472.29,0.0,140.613,,1228.6,,,,,185.269,,0.0,10.382,25.054,159.023,,185.269,-102.154,,,6.366,3511,4911.0,Electric Services,397595000.0,894082000.0,14288890000.0,18.46,7544.84,Pinnacle West Capital Corp,119755000.0,7604000.0,,83.0,246806000.0,0.38300064,6421.0,3511.0,35.0,236.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.158125,548.4813,34.24963653087616,5.4990604519844055,3.887951746582985,,1,0
id00002,2023,PNW,Matched,1,1,Other Services,0.0,595.693,595693000.0,4695.991,4695991000.0,21.272,,24.126,76.912,0.040500727,0.035709668,,0.1291135,1,1,0.0,0.0,A,USD,STD,INDL,C,764622.0,AZ,0.0,267.11,267.11,,2416.48,0.0,0.0,0.0,2674.223,-2416.48,1126.264,3542.744,0.0,166.833,,1618.683,,,,,52.786,,0.0,2.854,21.272,-24.31,,52.755,8.788,,,6.133,3511,4911.0,Electric Services,501557000.0,1355693000.0,24661153000.0,12.69,8146.54,Pinnacle West Capital Corp,267110000.0,4955000.0,,81.0,94136000.0,0.15802771,6421.0,3511.0,35.0,304.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.454465,765.6924,12.911349534988403,4.050072655081749,3.5709667950868607,,1,1
