year,p,gperc,weight,a_pre,sh_tax_dir_pit,sh_tax_cit,sh_tax_ind,sh_tax_dir_wea,sh_tax_dir_wea_prh,sh_tax_dir_wea_prb,sh_tax_dir_wea_wea,sh_tax_soc_tot_soc,sh_tax
2023,44000,45,3334231,32718,0.0397,0.0064,0.0761,0.0262,0.0173,0.0082,0.0007,0.0978,0.2462
2023,45000,46,3334231,33546,0.0408,0.0065,0.0754,0.0263,0.0173,0.0082,0.0007,0.0980,0.2470
2023,46000,47,3334231,34398,0.0419,0.0066,0.0748,0.0264,0.0173,0.0084,0.0007,0.0975,0.2472
2023,47000,48,3334231,35277,0.0431,0.0066,0.0742,0.0264,0.0173,0.0084,0.0007,0.0980,0.2482
2023,48000,49,3334231,36187,0.0442,0.0066,0.0736,0.0265,0.0173,0.0085,0.0007,0.0982,0.2491
2023,49000,50,3334231,37130,0.0453,0.0067,0.0730,0.0266,0.0173,0.0086,0.0007,0.0980,0.2497
2023,50000,51,3334231,38104,0.0465,0.0068,0.0724,0.0267,0.0173,0.0087,0.0007,0.0984,0.2508
2023,51000,52,3334231,39111,0.0476,0.0068,0.0718,0.0267,0.0173,0.0086,0.0007,0.0978,0.2507
2023,52000,53,3334231,40148,0.0488,0.0069,0.0713,0.0268,0.0173,0.0087,0.0007,0.0981,0.2518
2023,53000,54,3334231,41212,0.0499,0.0068,0.0707,0.0268,0.0173,0.0087,0.0007,0.0975,0.2517
2023,54000,55,3334231,42301,0.0511,0.0068,0.0702,0.0267,0.0173,0.0086,0.0007,0.0980,0.2526
2023,55000,56,3334231,43415,0.0523,0.0069,0.0696,0.0268,0.0173,0.0088,0.0007,0.0972,0.2528
2023,56000,57,3334231,44552,0.0535,0.0069,0.0691,0.0269,0.0173,0.0088,0.0007,0.0962,0.2525
2023,57000,58,3334231,45709,0.0547,0.0069,0.0686,0.0269,0.0173,0.0088,0.0007,0.0969,0.2539
2023,58000,59,3334231,46887,0.0559,0.0070,0.0680,0.0270,0.0173,0.0089,0.0007,0.0965,0.2544
2023,59000,60,3334231,48085,0.0572,0.0070,0.0675,0.0270,0.0173,0.0089,0.0007,0.0959,0.2546
